Job title,How old are you?,Currency,clean_country,total_comp_usd
software developer,25-34,EUR,germany,48.6
senior developer / consultant,35-44,EUR,germany,64.5
msw,55-64,USD,usa,78.0
software engineer,25-34,USD,usa,145.0
ios developer,25-34,USD,pakistan,7250.0
software engineer,25-34,EUR,greece,9542.32
software architect,35-44,USD,usa,18000.0
graduate software developer,25-34,GBP,uk,19140.87
junior software developer,25-34,GBP,uk,19140.87
junior developer ,35-44,GBP,uk,19508.96
email developer,25-34,EUR,france,21205.16
software developer,55-64,GBP,united kingdom,21349.43
scada developer,25-34,EUR,portugal,22088.71
graduate software engineer,25-34,GBP,united kingdom,22453.71
software developer,18-24,GBP,united kingdom,22821.81
wordpress developer,25-34,GBP,united kingdom,22821.81
software engineer,25-34,GBP,uk,23557.99
software engineer,35-44,GBP,uk,23557.99
junior software engineer,25-34,GBP,united kingdom,24242.65
frontend web developer,18-24,GBP,uk,25030.37
software engineer ,25-34,GBP,united kingdom,25030.37
digital skills developer ,35-44,GBP,wales,25030.37
web developer,35-44,GBP,united kingdom,25766.56
front end developer,18-24,GBP,united kingdom,25766.56
lead software developer,25-34,GBP,united kingdom,26502.74
senior software developer,35-44,GBP,uk,26502.74
software specialist,45-54,EUR,finland,26506.45
software developer,25-34,GBP,uk,27091.69
commercial developer,45-54,GBP,uk,27128.5
software developer,25-34,GBP,uk,27238.93
software engineer ,25-34,EUR,ireland,27390.0
senior developer,18-24,GBP,scotland,27975.12
junior software developer,25-34,EUR,italy,28273.55
software developer,35-44,GBP,united kingdom,28711.3
web developer,35-44,GBP,united kingdom,28711.3
software engineering intern,18-24,USD,usa,28800.0
full stack developer,35-44,GBP,united kingdom,29447.49
software developer,35-44,GBP,uk,29447.49
software engineer,18-24,GBP,united kingdom,29447.49
software engineer,25-34,GBP,uk,29447.49
senior developer,25-34,GBP,united kingdom,29447.49
software engineer,18-24,GBP,united kingdom,29447.49
research software engineer,25-34,GBP,uk,29812.64
sr developer,25-34,EUR,spain,30747.48
full stack developer,35-44,GBP,united kingdom,31287.96
intern software developer,35-44,CAD,canada,31548.23
intern software developer,35-44,CAD,canada,31548.23
senior software engineer,35-44,GBP,united kingdom,32392.24
software support manager,25-34,GBP,uk,32462.18
software dev,25-34,EUR,france,32691.29
application developer,25-34,GBP,united kingdom,33128.43
senior software developer,25-34,GBP,united kingdom,33570.14
software engineer ,25-34,EUR,france,33663.19
c# developer,45-54,GBP,uk,33864.62
software consultant ,45-54,GBP,uk,33864.62
senior software engineer,25-34,GBP,uk,33864.62
software engineer,25-34,GBP,scotland,33869.03
"lifeguard, swim instructor",under 18,USD,usa,34320.0
software engineer,25-34,EUR,france,34458.38
senior software engineer ,25-34,GBP,united kingdom,34600.8
junior software designer,25-34,EUR,finland,34988.51
software engineer,35-44,GBP,uk,35116.13
junior software developer,25-34,EUR,germany,35341.93
software engineer,25-34,EUR,germany,35341.93
web developer,25-34,GBP,united kingdom,35889.13
head swimming & diving coach (ncaa division ii),35-44,USD,usa,36000.0
software engineer,35-44,USD,usa,36000.0
senior software engineer,25-34,GBP,scotland,36073.18
senior developer,25-34,GBP,england,36073.18
senior software engineer,35-44,USD,usa,36200.0
software developer,35-44,GBP,united kingdom,36330.84
software developer,35-44,GBP,uk,36809.36
senior software engineer ,25-34,GBP,uk,36809.36
software engineer,25-34,GBP,united kingdom,36809.36
software engineer,25-34,GBP,united kingdom,36809.36
software engineer,25-34,GBP,united kingdom,36809.36
lead software developer,35-44,GBP,uk,36809.36
lead developer ,35-44,GBP,united kingdom,36809.36
software architect ,35-44,EUR,malta,37109.03
senior software engineer,25-34,GBP,united kingdom,37545.55
softrawe developer,35-44,GBP,uk,38281.74
software engineer mid,25-34,USD,spain,38600.0
senior web developer,25-34,GBP,united kingdom,38649.83
senior research applications developer,25-34,GBP,uk,39017.93
software developer,35-44,EUR,germany,39229.55
senior developer,35-44,EUR,ireland,39759.67
software developer,25-34,EUR,germany,39759.67
teaching artist and curriculum developer,25-34,USD,usa,40000.0
software developer,25-34,USD,usa,40020.0
software engineer,25-34,GBP,uk,40490.3
software team lead,25-34,GBP,united kingdom,40490.3
software engineer,25-34,GBP,uk,40490.3
software engineer,25-34,GBP,united kingdom,40626.5
senior software engineer,45-54,GBP,united kingdom.,40946.74
business intelligence developer,35-44,GBP,united kingdom,41007.84
software development team lead,35-44,GBP,england,41741.82
software qa,35-44,USD,usa,41800.0
software developer,25-34,GBP,united kingdom,41962.68
web developer,18-24,USD,usa,42000.0
report developer,18-24,USD,usa,42145.0
lead backend developer,35-44,EUR,netherlands,42410.32
front end developer,25-34,EUR,france,42410.32
php developer and team lead,25-34,EUR,the netherlands,42410.32
senior software engineer,45-54,GBP,uk,42698.86
frontend ui developer,35-44,GBP,united kingdom,42698.86
web design and front-end developer,25-34,USD,usa,43050.0
software engineer,25-34,GBP,united kingdom,43066.96
frontend web developer,25-34,CAD,canada,43378.82
senior software developer,35-44,GBP,uk,43435.05
software tester,35-44,USD,usa,44000.0
senior developer ,35-44,EUR,netherlands,44177.42
software developer,25-34,EUR,belgium,44177.42
software developer ,35-44,EUR,germany,44177.42
software engineer,25-34,EUR,france,44177.42
junior developer,35-44,USD,usa,44500.0
principal software engineer,25-34,GBP,scotland,44907.42
website designer/developer,25-34,USD,usa,45000.0
senior drupal developer,25-34,EUR,germany,45679.45
developer,25-34,EUR,germany,45944.51
content developer,35-44,USD,usa,45991.0
senior software engineer,25-34,EUR,austria,46386.29
software engineer,25-34,EUR,germany,47269.84
software engineer,25-34,EUR,germany,47711.61
senior developer,35-44,GBP,uk,47852.17
senior software developer,25-34,GBP,uk,47852.17
web developer,25-34,USD,usa,48000.0
senior software engineer,25-34,GBP,united kingdom,48588.36
software engineer,25-34,EUR,france,48595.16
senior ui developer ,35-44,GBP,uk,48875.47
exhibit developer,35-44,USD,usa,49000.0
software engineer,25-34,EUR,the netherlands,49218.06
senior php-developer ,25-34,EUR,netherlands,49322.32
junior software developer,18-24,USD,usa,49400.0
content developer and researcher,35-44,USD,usa,50000.0
elearning content developer,25-34,USD,usa,50000.0
senior web developer,35-44,USD,usa,50000.0
senior software engineer,25-34,GBP,united kingdom,50207.97
software engineer,25-34,EUR,netherlands,50362.25
junior application developer,25-34,USD,usa,50500.0
software architect,35-44,GBP,uk,50796.92
clinical supervisor (lcsw),35-44,USD,usa,51000.0
senior android developer,35-44,EUR,germany,51245.8
application developer,35-44,CAD,canada,51265.87
cloud developer/technical support specialist,18-24,CAD,canada,51265.87
software developer,25-34,CAD,canada,51265.87
senior developer,35-44,GBP,united kingdom,51533.11
senior developer,35-44,GBP,united kingdom,51901.2
software engineer,35-44,EUR,ireland,52129.35
senior software developer,25-34,EUR,germany,52129.35
software engineer,25-34,EUR,n/a (remote from wherever i want),52164.69
associate software engineer,25-34,USD,usa,52174.0
senior software engineer,45-54,GBP,united kindom,52362.06
web developer,35-44,USD,usa,52500.0
software developer,25-34,CAD,canada,52843.28
lead software engineer,35-44,GBP,united kingdom,53005.48
software developer,25-34,EUR,germany,53012.9
senior web developer,35-44,EUR,spain,53012.9
software engineer,25-34,EUR,austria,53012.9
software developer ,35-44,EUR,germany,53012.9
senior software engineer,25-34,GBP,united kingdom,53373.58
software developer,25-34,CAD,canada,53631.99
front-end developer,25-34,CAD,canada,53631.99
software-developer,35-44,EUR,germany,53896.45
senior application developer,45-54,GBP,uk,54477.86
algorithm developer,25-34,SEK,sweden,54984.33
senior mobility and software analyst,25-34,USD,usa,55000.0
wordpress developer,25-34,USD,usa,55000.0
software developer,25-34,CAD,canada,55209.4
software engineer ,35-44,GBP,uk,55214.05
senior software engineer,35-44,GBP,uk,55214.05
senior software engineer,25-34,GBP,uk,55214.05
software developer,35-44,GBP,united kingdom,55214.05
developer,35-44,CAD,canada,55294.58
software developer,45-54,USD,usa,55500.0
software testing engineer ,25-34,USD,usa,56000.0
associate software engineer,25-34,USD,usa,57000.0
senior software developer,25-34,GBP,uk,57422.61
senior software engineer,25-34,EUR,germany,57430.64
software developer,25-34,CAD,canada,57575.52
software developer,35-44,CAD,canada,58009.31
software engineering manager,25-34,GBP,u.k.,58158.8
software engineer,25-34,EUR,germany,58314.19
software delivery manager,45-54,GBP,united kingdom,58894.98
software engineer l2,25-34,GBP,uk,58894.98
ios developer,35-44,GBP,uk,58894.98
software tester,25-34,CAD,canada,59152.93
sr. software qa analyst,25-34,CAD,canada,59152.93
full-stack javascript developer,35-44,CAD,canada,59152.93
web developer,45-54,CAD,canada,59152.93
web developer ,25-34,USD,usa,60000.0
software engineer,25-34,USD,usa,60000.0
media communications developer,25-34,USD,usa,60000.0
web developer,35-44,USD,usa,60000.0
software support,25-34,USD,usa,60000.0
ux designer / developer,18-24,USD,usa,60000.0
senior software engineer,55-64,EUR,netherlands,60081.29
senior software engineer,25-34,EUR,germany,60081.29
software developer 1,18-24,USD,usa,60500.0
software engineering team lead,35-44,EUR,germany,60964.83
software engineer,25-34,USD,usa,61000.0
senior developer,35-44,GBP,united kingdom,61103.54
full stack developer,18-24,USD,usa,61400.0
instructional developer,35-44,USD,usa,61442.0
senior software developer,35-44,GBP,united kingdom,61839.73
software engineer,35-44,EUR,austria,61848.38
software developer,25-34,EUR,netherlands,61848.38
software engineer,35-44,EUR,france,61848.38
training content developer,35-44,USD,usa,62000.0
web application developer,35-44,CAD,canada,62031.71
senior software engineer,25-34,GBP,united kingdom,62502.3
software engineer ,25-34,GBP,united kingdom,62575.92
senior software engineer,25-34,GBP,uk,62575.92
software engineer,25-34,CAD,canada,62702.11
senior application developer,35-44,EUR,germany,62731.93
software engineer in test,18-24,USD,usa,63000.0
software test engineer,25-34,USD,usa,63000.0
software dev,35-44,USD,usa,63000.0
software tester,25-34,USD,usa,63000.0
software support specialist,25-34,USD,usa,63000.0
web developer,35-44,USD,usa,63000.0
web developer ,45-54,CAD,canada,63096.46
senior software developer ,45-54,GBP,isle of man,63312.11
lead software engineer,25-34,EUR,lithuania,63615.48
developer (software engineer/programmer),35-44,USD,usa,63750.0
senior software developer,45-54,GBP,england,63827.44
software developer,25-34,USD,usa,64000.0
software engineer,25-34,USD,usa,64000.0
php developer,35-44,EUR,germany,64057.25
software engineer ,35-44,GBP,united kingdom,64784.48
head of software engineering,35-44,GBP,spain,64784.48
senior software engineer,45-54,GBP,united kingdom,64784.48
senior software engineer,25-34,EUR,germany,64940.8
business intelligence developer,35-44,USD,usa,65000.0
lcsw-c/mental health clinician,25-34,USD,usa,65000.0
web developer ,35-44,USD,usa,65000.0
software qa analyst,25-34,USD,usa,65100.0
creative media developer,35-44,USD,usa,65500.0
software developer ,25-34,USD,usa,66000.0
web application developer,25-34,USD,usa,66000.0
software support engineer,18-24,USD,usa,66000.0
curriculum developer,45-54,USD,usa,66000.0
web developer,35-44,USD,usa,66000.0
ios software engineer,35-44,EUR,germany,66266.12
software engineer,25-34,EUR,germany,66266.12
account developer,25-34,USD,usa,66500.0
software trainer,25-34,USD,usa,66500.0
application developer,25-34,USD,usa,66780.0
software engineering manager,35-44,GBP,united kingdom,66993.04
software engineer,18-24,USD,usa,67000.0
[software] application developer,35-44,USD,usa,67500.0
frontend developer,25-34,GBP,"uk, but for globally fully remote company",67729.23
software developer,45-54,CAD,canada,67828.69
ux developer & product designer (junior),25-34,USD,usa,68000.0
developer / kanban master,35-44,SEK,sweden,68180.57
software developer,35-44,USD,usa,69000.0
software engineer,25-34,USD,usa,69000.0
marketing automation developer,25-34,CAD,canada,69011.75
software development manager,35-44,GBP,england,69201.6
software developer,35-44,CAD,canada,69406.1
software test engineer ,35-44,USD,usa,69500.0
front-end developer,35-44,USD,usa,70000.0
cloud developer/analyst - associate,25-34,USD,usa,70000.0
senior front-end developer ,25-34,USD,usa,70000.0
software engineer,35-44,USD,usa,70000.0
software engineer,25-34,USD,usa,70000.0
front end web developer,25-34,USD,usa,70000.0
software developer ii,25-34,USD,usa,70500.0
software engineer,35-44,USD,usa,70662.0
software engineer,25-34,EUR,france,70683.87
software engineer,35-44,CAD,canada,70983.52
senior software developer ,35-44,CAD,canada,70983.52
software engineer,25-34,CAD,canada,70983.52
seniors software developer,35-44,CAD,canada,70983.52
web developer,25-34,CAD,canada,70983.52
software engineer,25-34,CAD,canada,70983.52
software developer,35-44,CAD,canada,70983.52
dev ops developer,25-34,CAD,canada,70983.52
front end web developer ,25-34,USD,usa,71000.0
senior software engineer,35-44,GBP,uk,71410.17
chef and recipe developer,25-34,CAD,canada,71575.05
software engineer,25-34,SEK,sweden,71748.83
software dev 1,25-34,USD,usa,72000.0
software developer,25-34,USD,usa,72000.0
software developer,18-24,USD,usa,72000.0
software developer,18-24,USD,usa,72000.0
licsw,35-44,USD,usa,72000.0
licensed  independent clinical social worker (licsw),25-34,USD,usa,72000.0
applicaion developer iii,35-44,USD,usa,72000.0
software engineer,25-34,USD,usa,72000.0
software engineer,25-34,USD,usa,72452.0
associate software engineer,25-34,USD,usa,72500.0
educational developer,35-44,CAD,canada,72560.93
software engineering manager,35-44,GBP,uk,72882.54
software engineer,25-34,USD,usa,73000.0
software engineer,25-34,USD,usa,73000.0
software licensing rep,25-34,USD,usa,73000.0
web developer,35-44,USD,usa,73000.0
software developer,25-34,CAD,canada,73349.63
it analyst/developer,35-44,CAD,canada,73526.3
software developer,18-24,USD,usa,74000.0
web developer,25-34,USD,usa,74000.0
web developer,25-34,USD,usa,74620.0
application developer,25-34,USD,usa,74750.0
software developer ,35-44,USD,usa,74860.0
senior software engineer,35-44,USD,usa,74880.0
software engineer,35-44,USD,usa,74900.0
software developer ii,25-34,CAD,canada,74927.04
software engineer,25-34,USD,usa,75000.0
software engineer,25-34,USD,usa,75000.0
web application developer ,45-54,USD,usa,75000.0
web developer,25-34,USD,usa,75000.0
software implementation analyst,25-34,USD,usa,75000.0
rpa developer ,25-34,USD,usa,75000.0
software developer,18-24,USD,usa,75000.0
senior software engineer,35-44,EUR,netherlands,75101.61
software developer,35-44,EUR,germany,75101.61
materials developer,25-34,USD,usa,75110.0
developer,18-24,USD,usa,75500.0
software trainer,35-44,USD,usa,75900.0
software engineer,25-34,USD,usa,76000.0
software developer iii,45-54,USD,usa,76000.0
software engineer ,25-34,GBP,united kingdom,76305.81
software engineer,35-44,USD,usa,77000.0
technology developer,18-24,USD,usa,77500.0
function developer ,35-44,EUR,germany,77752.25
senior software engineer,25-34,USD,usa,78000.0
software engineering instructor,25-34,USD,usa,78000.0
software engineer,25-34,GBP,united kingdom,78772.04
software developer ,35-44,CAD,canada,78870.57
software business analyst,35-44,CAD,canada,78870.57
software developer,25-34,CAD,canada,78870.57
software developer,18-24,CAD,canada,78870.57
trainer/curriculum developer,25-34,USD,usa,79000.0
trainer/curriculum developer ,25-34,USD,usa,79000.0
project developer,25-34,USD,usa,79000.0
software engineer,25-34,USD,usa,79000.0
software developer,55-64,USD,usa,79000.0
software developer,25-34,USD,usa,79500.0
software engineer 1,18-24,USD,usa,79500.0
product developer,25-34,USD,usa,79500.0
python developer,35-44,EUR,netherlands,79519.35
software engineer,18-24,USD,usa,79600.0
senior developer,45-54,USD,usa,80000.0
software engineer,25-34,USD,usa,80000.0
"designer, sweaters ",25-34,USD,usa,80000.0
geophysical software support specialist,25-34,USD,usa,80000.0
software engineer ,25-34,USD,usa,80000.0
software developer,25-34,USD,usa,80000.0
embedded software engineer,25-34,USD,usa,80000.0
systems developer,35-44,USD,usa,80000.0
web developer,35-44,USD,usa,80000.0
multimedia developer,25-34,USD,usa,80000.0
software developer,25-34,USD,usa,80000.0
software engineer,45-54,USD,usa,80000.0
software engineer,18-24,USD,usa,80000.0
software engineer,25-34,CAD,canada,80053.63
senior software engineer,45-54,GBP,united kingdom,80244.41
software developer i,18-24,USD,usa,80340.0
software developer,25-34,CAD,canada,80447.98
developer,25-34,USD,usa,80500.0
software engineer,18-24,GBP,uk,80612.51
software quality assurance and release manager,25-34,USD,usa,81000.0
web developer,35-44,USD,usa,81000.0
web developer,35-44,USD,usa,81200.0
developer,25-34,USD,usa,81200.0
software development manager,35-44,CAD,canada,81236.69
software engineer,35-44,EUR,germany,81286.45
software engineer,18-24,USD,usa,82000.0
software engineer,35-44,USD,usa,82000.0
application developer,45-54,USD,usa,82000.0
software engineer,35-44,USD,usa,82000.0
web developer,45-54,USD,usa,82000.0
software developer,25-34,USD,usa,82000.0
software developer,25-34,USD,usa,82000.0
software developer,25-34,CAD,canada,82025.4
software engineer,25-34,EUR,luxemburg,82169.99
software engineer ii,25-34,USD,usa,82750.0
software developer / customer integrations,25-34,CAD,canada,82814.1
software developer,25-34,CAD,canada,82814.1
software engineer,25-34,USD,usa,83000.0
web applications developer,35-44,USD,usa,83000.0
software engineer,25-34,USD,usa,83000.0
software engineer,35-44,EUR,france,83053.54
assessment developer ,35-44,USD,usa,83500.0
software implementation consultant,18-24,USD,usa,83600.0
software engineer,25-34,EUR,ireland,83937.09
business intelligence developer,35-44,USD,usa,84000.0
software developer,35-44,CAD,canada,84391.51
lead developer,35-44,GBP,united kingdom,84661.54
software developer,35-44,EUR,spain,84820.64
software consultant,18-24,USD,usa,85000.0
software developer,25-34,USD,usa,85000.0
senior information developer,45-54,USD,usa,85000.0
software developer,25-34,USD,usa,85000.0
software quality assurance analyst ii,35-44,USD,usa,85000.0
software consultant,25-34,USD,usa,85000.0
senior software engineer,35-44,GBP,england,85029.63
software engineer ii,35-44,USD,usa,85600.0
senior web application developer,25-34,CAD,canada,85968.92
senior sql developer,18-24,USD,usa,86000.0
software developer,35-44,GBP,uk,86133.91
developer,25-34,USD,usa,86200.0
process developer,45-54,USD,usa,86500.0
senior software designer,45-54,CAD,canada,86757.63
senior developer relations manager ,35-44,CAD,canada,86757.63
senior software engineer,25-34,CHF,switzerland,86772.6
software developer,35-44,CAD,canada,86920.1
software engineer 3,35-44,USD,usa,87000.0
full stack software engineer ii,25-34,USD,usa,87000.0
software engineer,25-34,USD,usa,87000.0
software engineer,25-34,USD,usa,87000.0
software engineer,25-34,USD,usa,87500.0
associate software engineer,25-34,USD,usa,87500.0
data visualization developer,25-34,USD,usa,88000.0
software engineer,25-34,USD,usa,88000.0
software developer,25-34,USD,usa,88000.0
software developer,25-34,USD,usa,88000.0
software engineer,55-64,GBP,uk,88048.0
senior developer,45-54,CAD,canada,88335.04
principal software engineer,35-44,GBP,uk,88342.47
web developer,35-44,USD,usa,88500.0
junior software developer ,18-24,USD,usa,88550.0
software engineer,18-24,USD,usa,88600.0
senior software developer,35-44,EUR,ireland,89238.38
peoplesoft developer,25-34,USD,usa,89500.0
lcsw,25-34,USD,usa,90000.0
web developer,35-44,USD,usa,90000.0
web developer,25-34,USD,usa,90000.0
web developer,45-54,USD,usa,90000.0
junior software engineer,25-34,USD,usa,90000.0
frontend software engineer,25-34,USD,usa,90000.0
software developer,35-44,USD,usa,90000.0
software engineer ,25-34,USD,usa,90000.0
senior developer,35-44,USD,usa,90000.0
software engineer ii,25-34,USD,usa,90000.0
software engineer,18-24,USD,usa,90000.0
footwear technical developer 1,25-34,USD,usa,90000.0
specialist software engineer,35-44,USD,usa,90000.0
software engineer,25-34,USD,usa,90000.0
software engineer,18-24,USD,usa,90200.0
software developer (junior),25-34,AUD/NZD,australia,90365.63
software developer,25-34,AUD/NZD,australia,90365.63
front end web developer,25-34,AUD/NZD,australia,90365.63
software engineer ii,25-34,USD,usa,90500.0
senior software engineer,25-34,CAD,canada,90701.16
senior software developer,35-44,CAD,canada,90701.16
senior software engineer,25-34,CAD,canada,90701.16
senior javascript developer,35-44,USD,usa,91000.0
senior front-end web developer,25-34,USD,usa,91000.0
software engineer,25-34,USD,usa,91000.0
system software engineer,25-34,CAD,canada,91489.87
software developer,25-34,USD,usa,91850.0
software architect,35-44,EUR,germany,91889.03
principal software engineer,35-44,EUR,germany,91889.03
software engineer,25-34,USD,usa,92000.0
technology systems developer,35-44,USD,usa,92100.0
senior software developer,35-44,USD,usa,92435.0
software developer,55-64,USD,usa,92500.0
staff software engineer,25-34,EUR,portugal,92772.57
senior software developer,35-44,USD,usa,93000.0
software engineer ii,35-44,USD,usa,93000.0
etl developer ,35-44,USD,usa,93000.0
database software engineer,25-34,USD,usa,93000.0
software engineer,25-34,USD,usa,93000.0
principal software engineer,25-34,USD,usa,93500.0
software developer team lead,25-34,USD,usa,93500.0
software engineer,25-34,USD,usa,93500.0
software engineer,18-24,USD,usa,93500.0
lead software qa engineer,45-54,USD,usa,93600.0
principal software engineering manager,35-44,GBP,uk,93863.88
software developer ii,25-34,USD,usa,94000.0
etl developer ii,35-44,USD,usa,94000.0
software engineer i,18-24,USD,usa,94000.0
software engineer,25-34,USD,usa,94000.0
associate software engineer,35-44,USD,usa,94000.0
senior ios developer/consultant ,45-54,USD,usa,94000.0
web developer,25-34,USD,usa,94000.0
application developer,25-34,USD,usa,94000.0
software developer - team lead,25-34,CAD,canada,94644.69
ios developer,25-34,CAD,canada,94644.69
software engineer,35-44,CAD,canada,94644.69
software architect,25-34,CAD,canada,94644.69
senior software developer,35-44,USD,usa,94700.0
software developer,35-44,USD,usa,94800.0
software engineer,25-34,USD,usa,95000.0
software engineer,35-44,USD,usa,95000.0
software engineer,35-44,USD,usa,95000.0
software qa manager,35-44,USD,usa,95000.0
developer,25-34,USD,usa,95000.0
salesforce developer,35-44,USD,usa,95000.0
software engineer,25-34,USD,usa,95000.0
senior software engineer,25-34,USD,usa,95000.0
software engineer,25-34,USD,usa,95000.0
senior software engineer ,25-34,USD,usa,95000.0
software development engineer,35-44,USD,usa,95000.0
pipeline developer,25-34,USD,usa,95000.0
software developer,18-24,USD,usa,95000.0
senior software engineer,35-44,CAD,canada,95039.04
front end web developer,25-34,USD,usa,95200.0
developer,35-44,USD,usa,95250.0
software developer ii,25-34,USD,usa,95350.0
software engineer,25-34,USD,usa,95680.0
senior software engineer,25-34,GBP,united kingdom,95704.35
software engineer ii,25-34,USD,usa,96000.0
designer / developer,25-34,USD,usa,96000.0
developer,35-44,USD,usa,96000.0
software engineer for safety critical & fault tolerant systems,25-34,USD,usa,96000.0
senior software developer,25-34,CAD,canada,96222.1
software test engineer,55-64,USD,usa,96500.0
software engineer,25-34,USD,usa,97000.0
lead software designer,45-54,USD,usa,97000.0
embedded software engineer ,25-34,USD,usa,97000.0
software engineer,25-34,USD,usa,97000.0
software engineer 2,45-54,USD,usa,97000.0
front end developer,35-44,USD,usa,97000.0
game developer,35-44,CAD,canada,97010.81
software engineer,25-34,EUR,germany,97190.32
software developer,25-34,AUD/NZD,new zealand,97316.84
software engineer,25-34,USD,usa,97438.0
junior software engineer,25-34,USD,usa,98000.0
software developer and consultant,25-34,USD,usa,98000.0
senior web application developer,45-54,USD,usa,98166.0
software engineer,18-24,USD,usa,98500.0
senior software developer,35-44,CAD,canada,98588.22
software engineer,18-24,USD,usa,98800.0
software engineer ii,25-34,USD,usa,99000.0
application developer,18-24,USD,usa,99000.0
