Job title,How old are you?,Currency,clean_country,total_comp_usd
software implementation manager,25-34,USD,usa,99000.0
software engineer ii,25-34,USD,usa,99000.0
senior software engineer,35-44,USD,usa,100000.0
business software analyst iii,35-44,USD,usa,100000.0
software developer,18-24,USD,usa,100000.0
software engineer,25-34,USD,usa,100000.0
software engineer ,35-44,USD,usa,100000.0
web developer,35-44,USD,usa,100000.0
senior developer,45-54,USD,usa,100000.0
software engineer,25-34,USD,usa,100000.0
senior software applications developer,25-34,USD,usa,100000.0
senior software engineer,25-34,USD,usa,100000.0
software engineer ii,25-34,USD,usa,100000.0
software engineer,25-34,CAD,canada,100165.63
software developer,35-44,USD,usa,100260.0
software developer,55-64,CAD,canada,100323.37
software developer,25-34,AUD/NZD,australia,100375.36
software engineer,25-34,USD,usa,100880.0
software engineer,18-24,USD,usa,101000.0
senior ux developer,35-44,USD,usa,101000.0
software developer ,45-54,USD,usa,101000.0
software engineer,35-44,USD,usa,101100.0
software engineer,25-34,USD,israel,101150.0
software developer,35-44,USD,usa,101209.0
senior software developer,45-54,EUR,germany,101464.04
software engineer,18-24,USD,usa,101500.0
senior software engineer,25-34,USD,usa,101500.0
senior software engineer,45-54,USD,usa,101500.0
software engineer 2,25-34,USD,usa,102000.0
"software engineer, test ii",25-34,USD,usa,102000.0
software engineer 2,18-24,USD,usa,102200.0
software architect,35-44,CAD,canada,102531.75
software engineer,35-44,USD,usa,102900.0
developer ii,25-34,USD,usa,103000.0
software engineer 2 lead,35-44,USD,usa,103000.0
software engineer,35-44,USD,usa,103000.0
developer,25-34,USD,usa,103000.0
database developer,45-54,USD,usa,103000.0
software engineer,18-24,USD,usa,103000.0
swe,35-44,GBP,uk,103066.22
principal software engineer,35-44,GBP,united kingdom,103066.22
mainframe cobol software developer iii,45-54,USD,usa,103250.0
senior front end developer ,35-44,CAD,canada,103320.45
web software engineer iii,35-44,USD,usa,103500.0
software engineer 2,25-34,USD,usa,103900.0
software engineer,25-34,USD,usa,104000.0
software development project manager,45-54,USD,usa,104000.0
business intelligence developer,25-34,USD,usa,104000.0
software developer,25-34,AUD/NZD,nz,104268.04
software developer,25-34,USD,usa,104500.0
senior software developer,35-44,CAD,canada,104503.51
junior experience developer,25-34,CAD,canada,104582.38
software engineer,25-34,USD,usa,105000.0
software engineer ii,25-34,USD,usa,105000.0
senior software engineer,25-34,USD,usa,105000.0
advanced analytics developer,35-44,USD,usa,105000.0
software engineer ii,18-24,USD,usa,105000.0
senior software engineer,25-34,USD,usa,105000.0
netsuite administrator and developer,18-24,USD,usa,105000.0
software engineer,35-44,USD,usa,105000.0
software developer,35-44,USD,usa,105000.0
software developer - level 1 ,45-54,USD,usa,105400.0
software engineer 3,35-44,SEK,sweden,105569.91
senior software engineer,35-44,USD,usa,106000.0
software architect,35-44,USD,usa,106000.0
online course developer,25-34,USD,usa,106000.0
software engineer,45-54,USD,usa,106000.0
tac ent rt switching cisco,35-44,USD,usa,106000.0
software developer,25-34,USD,usa,106000.0
software engineer,25-34,EUR,netherlands,106025.8
full stack developer ,25-34,CHF,switzerland,106296.44
senior software engineer ,35-44,USD,usa,106300.0
front end developer,25-34,CAD,canada,106475.27
software engineer,18-24,CAD,canada,106475.27
"software engineer, sr",35-44,USD,usa,107000.0
sr software test engineer,45-54,USD,usa,107000.0
software developer,45-54,USD,usa,107000.0
associate software engineer,18-24,USD,usa,107000.0
software qa analyst,25-34,USD,usa,107000.0
software verification & validation specialist,35-44,USD,usa,107100.0
software development engineer iii,25-34,EUR,ireland,107792.9
software engineer,25-34,USD,usa,108000.0
software engineer,25-34,USD,usa,108500.0
software engineer,18-24,USD,usa,108500.0
software,45-54,EUR,germany,108676.44
senior software engineer,25-34,USD,usa,109000.0
software engineer,25-34,USD,usa,109000.0
senior developer,35-44,USD,usa,109000.0
rpa developer,25-34,USD,usa,109200.0
software engineer ii,25-34,USD,usa,109450.0
web developer,35-44,USD,usa,110000.0
software engineer ii,25-34,USD,usa,110000.0
software engineer,25-34,USD,usa,110000.0
software developer,25-34,USD,usa,110000.0
software developer,18-24,USD,usa,110000.0
software engineer ,35-44,USD,usa,110000.0
senor software engineer,35-44,USD,usa,110000.0
senior developer,35-44,USD,usa,110000.0
lead developer,25-34,USD,usa,110000.0
software consultant,35-44,USD,usa,110000.0
senior front end web developer,35-44,USD,usa,110000.0
software engineer,18-24,USD,usa,110000.0
software engineer,25-34,USD,usa,110000.0
software engineer,35-44,USD,usa,110000.0
software engineer,35-44,USD,usa,110000.0
software developer,25-34,USD,usa,110000.0
lead software engineer,25-34,USD,usa,110000.0
software product manager,35-44,USD,usa,110000.0
software engineer in test,35-44,USD,usa,110000.0
software developer,35-44,USD,usa,110000.0
software engineer,35-44,CAD,canada,110418.8
software engineer,25-34,CAD,canada,110418.8
software developer,35-44,CAD,canada,110418.8
staff software engineer,35-44,USD,usa,110500.0
sr. developer,25-34,USD,usa,111000.0
associate software developer,18-24,USD,usa,111000.0
software engineer,35-44,GBP,united kingdom,111164.28
full stack developer,18-24,AUD/NZD,new zealand,111219.24
software engineer i,35-44,USD,usa,111500.0
senior developer,35-44,USD,usa,111700.0
associate software engineer,35-44,USD,usa,112000.0
software engineer,35-44,USD,usa,112000.0
senior mobile software tester,45-54,USD,usa,112000.0
software engineer team lead,25-34,USD,usa,112000.0
software and database engineer,45-54,USD,usa,112000.0
software quality assurance manager,35-44,USD,usa,112000.0
software engineer,25-34,USD,usa,112200.0
software engineer,25-34,USD,uniyed states,112200.0
software engineer intern,25-34,USD,usa,112320.0
web developer,35-44,AUD/NZD,australia,112331.43
software quality assurance manager,45-54,USD,usa,112500.0
senior software consultant,25-34,USD,usa,113000.0
software engineering manager ,35-44,EUR,germany,113094.19
mid-level sharepoint developer,35-44,USD,usa,113460.0
full stack developer,35-44,USD,argentina,114000.0
lead mes developer,25-34,USD,usa,114000.0
principal software engineer,35-44,USD,usa,114000.0
software engineer,25-34,USD,usa,114000.0
software engineer,18-24,USD,usa,114200.0
senior sitecore software developer ,35-44,CAD,canada,114283.46
senior software engineer,45-54,USD,usa,114300.0
software engineer,25-34,CAD,canada,114362.33
software engineer,25-34,CAD,canada,114362.33
software engineer,25-34,EUR,germany,114861.28
inpatient lcsw ,35-44,USD,usa,115000.0
robotics software engineer,25-34,USD,usa,115000.0
senior web developer,45-54,USD,usa,115000.0
senior software engineer,35-44,USD,usa,115000.0
embedded software engineer,25-34,USD,usa,115000.0
software engineer,25-34,USD,usa,115000.0
software engineer,25-34,USD,canada,115000.0
software engineer,25-34,USD,usa,115000.0
senior software developer,25-34,USD,usa,115000.0
senior software engineer,35-44,USD,usa,115000.0
software engineer,35-44,USD,usa,115000.0
embedded software engineer,18-24,USD,usa,115000.0
software engineer,35-44,USD,usa,115000.0
senior software engineer,35-44,USD,usa,115000.0
senior developer - front end,45-54,USD,usa,115000.0
senior software engineer,25-34,USD,usa,115000.0
senior software developer,55-64,USD,usa,115000.0
back end developer,25-34,USD,usa,115000.0
software engineer,35-44,USD,usa,115100.0
software engineer,35-44,USD,usa,115100.0
r&d software engineer,35-44,USD,usa,115200.0
senior developer,35-44,USD,usa,115500.0
software engineer,35-44,USD,usa,116000.0
software engineer,25-34,USD,usa,116000.0
bi developer,55-64,USD,usa,116000.0
software engineer,45-54,USD,usa,116500.0
software quality assurance manager,35-44,USD,usa,116500.0
software engineer iv,35-44,USD,usa,117000.0
senior software engineer,25-34,USD,usa,117000.0
software engineer,18-24,USD,usa,117500.0
bi developer,45-54,USD,usa,117500.0
software engineer ,35-44,GBP,uk,117789.97
senior software engineer,25-34,USD,usa,118000.0
it developer,35-44,USD,usa,118000.0
content developer,25-34,USD,usa,118000.0
software engineer,18-24,USD,usa,118000.0
principal web developer,25-34,USD,usa,118000.0
software engineer,18-24,USD,usa,118000.0
software developer,25-34,USD,usa,118000.0
software engineer,18-24,USD,usa,118000.0
web developer,35-44,USD,usa,118000.0
software engineer,45-54,CAD,canada,118305.86
senior software engineer,45-54,CAD,canada,118305.86
senior software engineer ,35-44,USD,usa,118560.0
senior software engineer,35-44,USD,usa,119000.0
software engineer,25-34,USD,usa,119000.0
sr php developer,35-44,USD,unitedstates,119000.0
software engineer 3,25-34,USD,usa,119000.0
"sr. engineer, software development",25-34,USD,usa,119236.0
software developer,35-44,USD,usa,119500.0
software developer,25-34,USD,usa,119500.0
senior developer,35-44,CAD,canada,119883.27
front end software engineer,25-34,USD,usa,120000.0
software engineer,25-34,USD,usa,120000.0
web developer,45-54,USD,usa,120000.0
software engineer,25-34,USD,usa,120000.0
software developer,25-34,USD,usa,120000.0
developer team lead,45-54,USD,usa,120000.0
web developer ,35-44,USD,usa,120000.0
software engineer,25-34,USD,usa,120000.0
software developer / consultant,25-34,USD,usa,120000.0
software engineer ii,25-34,USD,usa,120000.0
senior software developer,25-34,USD,usa,120000.0
software architect,35-44,USD,usa,120000.0
software engineering team lead,45-54,USD,usa,120000.0
front end developer,25-34,USD,usa,120000.0
software engineer,25-34,USD,usa,120000.0
software engineer,25-34,USD,usa,120000.0
senior software engineer 1,25-34,USD,usa,120000.0
senior software developer,45-54,USD,usa,120000.0
peoplesoft developer,55-64,USD,usa,120000.0
software engineer,25-34,USD,usa,120000.0
software architect,35-44,USD,usa,120000.0
software development engineer,25-34,EUR,germany,120162.57
software engineer,35-44,USD,usa,120300.0
software engineer,35-44,USD,usa,120750.0
software developer,25-34,USD,usa,121000.0
software engineer,35-44,USD,usa,121000.0
software engineer,35-44,USD,usa,121000.0
software engineer,18-24,USD,usa,121000.0
software developer,35-44,USD,usa,121139.0
software engineer,35-44,USD,usa,122000.0
software engineer,25-34,USD,usa,122000.0
senior it software developer,45-54,USD,usa,122000.0
software developer senior engineer,25-34,USD,usa,122000.0
senior software engineer,65 or over,USD,usa,122000.0
senior software engineer,35-44,USD,usa,122000.0
senior software architect,35-44,CAD,canada,122249.39
database developer,35-44,USD,usa,122500.0
web developer,35-44,USD,usa,122750.0
senior software developer in test,35-44,USD,usa,122800.0
software developer,25-34,USD,usa,122950.0
software engineer,25-34,USD,usa,123000.0
director of software engineering,35-44,USD,usa,123000.0
senior software engineer,35-44,USD,usa,123000.0
software engineer,25-34,USD,usa,123000.0
software engineer 2,18-24,USD,usa,123000.0
software engineer iii,25-34,USD,usa,123170.0
senior software engineer,45-54,USD,usa,123275.0
applications developer,55-64,USD,usa,123400.0
senior software engineer,35-44,USD,usa,123600.0
web developer,25-34,EUR,slovakia,123696.77
principal software engineer ,25-34,USD,usa,124000.0
software engineer,35-44,USD,usa,124000.0
software consultant & engineering manager,25-34,USD,usa,124000.0
software engineer iii,25-34,USD,usa,124000.0
software developer iii,35-44,USD,usa,124500.0
sr. software engineer,25-34,USD,usa,124750.0
front-end web developer,35-44,USD,usa,124800.0
software engineer ,25-34,USD,usa,125000.0
software developer in test,25-34,USD,usa,125000.0
senior software engineer,35-44,USD,usa,125000.0
software engineer,45-54,USD,usa,125000.0
senior software engineer,25-34,USD,usa,125000.0
senior ios developer,35-44,USD,usa,125000.0
sysadmin + software developer,35-44,USD,usa,125000.0
senior software engineer,35-44,USD,usa,125000.0
software engineer ,25-34,USD,usa,125000.0
senior software engineer,25-34,USD,usa,125000.0
software engineer,25-34,USD,usa,125000.0
software engineer,18-24,AUD/NZD,australia,125121.65
principal software engineer,55-64,USD,usa,126000.0
software engineer,18-24,USD,usa,126000.0
full stack developer,25-34,USD,usa,126000.0
software developer,35-44,CAD,canada,126192.92
software engineer 3,35-44,USD,usa,126432.0
software developer,25-34,USD,usa,126500.0
senior software engineer,25-34,USD,usa,127000.0
software developer,35-44,USD,usa,127000.0
software engineer,35-44,USD,india,127000.0
senior mobile developer,45-54,USD,usa,127200.0
senior frontend developer,45-54,USD,canada,127500.0
staff software engineer,35-44,USD,usa,127500.0
senior software engineer,25-34,USD,usa,127500.0
software engineer,25-34,USD,usa,127500.0
"senior manager, software development",35-44,CAD,canada,127770.33
software engineer,25-34,USD,usa,128000.0
senior embedded software engineer,35-44,USD,usa,128000.0
senior software developer ,45-54,USD,usa,128000.0
software developer,45-54,USD,usa,128000.0
sr software engineer,35-44,USD,usa,128000.0
senior software engineer,55-64,USD,usa,128000.0
senior software engineer,35-44,USD,usa,128000.0
ios developer,25-34,USD,usa,128000.0
software engineer 2,25-34,USD,usa,128000.0
software engineer,55-64,USD,usa,128000.0
senior embedded software engineer,35-44,USD,usa,128000.0
software engineer,25-34,USD,usa,129000.0
senior software consultant,25-34,USD,usa,129000.0
lead developer,45-54,USD,usa,129000.0
senior strategic business developer,25-34,USD,usa,129250.0
lead software engineer,35-44,USD,usa,129400.0
senior software engineer,25-34,USD,usa,129551.0
senior content developer,35-44,USD,usa,129700.0
senior web developer,35-44,USD,usa,130000.0
software engineer,25-34,USD,usa,130000.0
software engineer,25-34,USD,usa,130000.0
software engineer,25-34,USD,usa,130000.0
manager of developer relations,35-44,USD,australia,130000.0
software developer,35-44,USD,usa,130000.0
software engineer,25-34,USD,usa,130000.0
senior software developer,25-34,USD,usa,130000.0
ruby on rails developer,25-34,USD,usa,130000.0
software engineering manager,35-44,USD,usa,130000.0
mobile software engineer,25-34,USD,usa,130000.0
senior software developer,25-34,USD,usa,130000.0
software engineer ,45-54,USD,usa,130000.0
senior front end developer,25-34,USD,usa,130000.0
director of software engineering,35-44,USD,usa,130000.0
senior software engineer,35-44,USD,usa,130000.0
software engineer,55-64,USD,usa,130000.0
software engineer (front end),25-34,USD,usa,130000.0
software engineer,45-54,USD,usa,130000.0
software engineer iii,35-44,USD,usa,130000.0
sr software eng,35-44,USD,usa,130000.0
software development lead,35-44,USD,usa,130001.0
software engineer,18-24,USD,usa,130080.0
co-founder / software engineer,45-54,CHF,switzerland,130158.9
software developer,25-34,USD,usa,130625.0
senior software architect,45-54,USD,usa,131000.0
developer,25-34,USD,usa,131000.0
senior software engineer,25-34,USD,usa,131184.0
software engineer,35-44,USD,usa,132000.0
lead developer,35-44,USD,usa,132000.0
product specialist and developer,35-44,USD,usa,132000.0
senior web developer,35-44,USD,usa,132000.0
software engineer,25-34,USD,usa,132000.0
senior software engineer,25-34,USD,usa,132000.0
senior software engineer,35-44,USD,usa,132000.0
software developer,18-24,USD,usa,132500.0
developer ,35-44,EUR,nederland,132532.25
software architect ,25-34,EUR,netherlands,132532.25
principal software engineer,35-44,USD,usa,132800.0
lead software engineer ,35-44,USD,usa,133000.0
lead web developer,35-44,USD,usa,133000.0
software engineer,25-34,USD,usa,133000.0
senior software engineer,25-34,USD,usa,133000.0
software engineer ,25-34,USD,usa,133000.0
senior software engineer,35-44,CAD,canada,133291.27
software developer,45-54,USD,usa,133500.0
software engineer,25-34,USD,usa,134000.0
staff software engineer,25-34,USD,usa,134000.0
software engineer,25-34,USD,usa,134000.0
senior software engineer,35-44,USD,usa,134000.0
director of software programs,45-54,CAD,canada,134079.97
salesforce administrator/developer,35-44,USD,usa,134500.0
platform developer,35-44,USD,usa,134640.0
lead software engineer,25-34,USD,usa,134700.0
senior front end developer,25-34,USD,usa,135000.0
software development engineer,35-44,USD,usa,135000.0
senior developer ,25-34,USD,usa,135000.0
senior software engineer,35-44,USD,usa,135000.0
software engineer,25-34,USD,usa,135000.0
senior software engineer,25-34,USD,usa,135000.0
front-end developer,45-54,USD,usa,135000.0
"senior manager, software engineering",45-54,USD,usa,135000.0
software engineer ,25-34,USD,usa,135000.0
software engineer,25-34,USD,usa,135000.0
software engineer 3,35-44,USD,usa,135000.0
content developer and coordinator,45-54,USD,usa,135000.0
sr. software engineer,45-54,USD,usa,135000.0
sr software engineer,35-44,USD,usa,135000.0
software engineer,25-34,USD,usa,135000.0
senior software engineer,25-34,USD,usa,135000.0
senior software engineer,55-64,USD,usa,135000.0
staff software engineer,35-44,USD,usa,135000.0
senior software engineer,35-44,USD,usa,135000.0
staff software engineer,25-34,USD,brazil,135200.0
software engineer,25-34,USD,usa,135600.0
senior principle cyber software engineer,55-64,USD,usa,136000.0
senior developer,35-44,USD,usa,136000.0
salesforce developer,35-44,USD,usa,136000.0
software designer,25-34,USD,usa,136000.0
software engineer,35-44,USD,usa,136000.0
software engineer,25-34,USD,usa,136600.0
senior software engineer,35-44,USD,usa,137000.0
senior software developer,25-34,USD,usa,137000.0
advisory software engineer,35-44,USD,usa,138000.0
senior software engineer,45-54,USD,usa,138000.0
lead developer,35-44,USD,usa,138000.0
actuarial developer,25-34,CHF,switzerland,138836.16
full stack software engineer,35-44,USD,usa,139000.0
software engineer ,35-44,USD,usa,139000.0
software engineer ,35-44,USD,usa,139000.0
senior software engineer,45-54,USD,usa,139000.0
software engineer,25-34,USD,usa,139000.0
software quality assurance,35-44,USD,usa,139000.0
software engineer ii,18-24,USD,usa,139000.0
software engineer,35-44,AUD/NZD,australia,139024.05
senior software engineer,35-44,USD,usa,139050.0
sr. principal curriculum developer,45-54,USD,usa,139500.0
lead consultant - software development ,25-34,USD,usa,140000.0
software engineer,25-34,USD,usa,140000.0
software engineer,35-44,USD,usa,140000.0
senior developer,25-34,USD,usa,140000.0
senior software engineer ,45-54,USD,usa,140000.0
software engineer ,55-64,USD,usa,140000.0
senior software engineer,45-54,USD,usa,140000.0
senior software engineer ii,45-54,USD,usa,140000.0
senior frontend developer,45-54,USD,usa,140000.0
software engineer ,35-44,USD,brazil,140000.0
software engineer,25-34,USD,usa,140000.0
software engineer,25-34,USD,usa,140000.0
senior software engineer,25-34,USD,usa,140000.0
software engineer ii,25-34,USD,usa,140000.0
"director, software dev",45-54,USD,usa,140000.0
senior software developer,35-44,USD,usa,140000.0
software engineer,25-34,USD,usa,140000.0
software engineer ,25-34,USD,usa,140000.0
software engineer 2,18-24,USD,usa,140000.0
software engineer ii,25-34,USD,usa,140000.0
software engineer 2,25-34,USD,usa,140800.0
software engineer,25-34,USD,usa,141000.0
staff software engineer,25-34,USD,usa,141000.0
"sr. software engineer, test",45-54,USD,usa,141000.0
staff software engineer,25-34,USD,usa,141000.0
software engineer (se1),25-34,USD,usa,141000.0
senior software engineer,35-44,USD,usa,141000.0
software engineer,18-24,USD,usa,141750.0
senior software engineer,55-64,USD,usa,141900.0
senior software development manager,25-34,CAD,canada,141967.03
staff software developer,35-44,CAD,canada,141967.03
senior software engineer,35-44,USD,usa,142000.0
software engineer iv,45-54,USD,usa,142200.0
senior software engineer,25-34,USD,usa,142860.0
software engineer,18-24,USD,usa,143600.0
senior software engineer,45-54,USD,usa,144000.0
senior software engineer,25-34,USD,usa,144000.0
lead software engineer ,45-54,USD,usa,144000.0
software development manager,35-44,USD,usa,144000.0
senior software engineer,35-44,USD,usa,144000.0
software development engineer ii,25-34,USD,usa,144055.0
senior software engineer,25-34,USD,usa,144200.0
software engineer,25-34,CHF,switzerland,144259.45
software development engineer ii,25-34,USD,usa,144800.0
software engineer,55-64,USD,usa,145000.0
software engineer,25-34,USD,usa,145000.0
software engineer ii,25-34,USD,usa,145000.0
software engineer ii,25-34,USD,usa,145000.0
software engineer,35-44,USD,usa,145000.0
software engineer,35-44,USD,usa,145000.0
software engineer,45-54,USD,usa,145000.0
software engineer,25-34,USD,usa,145000.0
software development manager,45-54,USD,usa,145000.0
principal sql developer,45-54,USD,usa,145000.0
principal software engineer,55-64,USD,usa,145000.0
software engineer,25-34,USD,usa,145000.0
software engineer ii,35-44,USD,usa,145000.0
software engineer,25-34,USD,usa,145500.0
developer,35-44,USD,new zealand,145689.0
senior software engineer,25-34,USD,usa,146000.0
software development engineer,18-24,USD,usa,146000.0
lead developer ,35-44,CHF,switzerland,146428.77
software engineer,25-34,USD,usa,147000.0
senior software developer,35-44,USD,usa,147000.0
software developer,25-34,USD,usa,147000.0
staff software engineer,35-44,USD,usa,147000.0
software engineer 3,25-34,USD,usa,147000.0
senior software engineer,25-34,USD,usa,147000.0
mobile developer,35-44,USD,usa,147100.0
principal software engineer,25-34,USD,usa,147400.0
senior software engineer,25-34,USD,usa,148000.0
software engineer,35-44,USD,usa,148000.0
software engineer ii,25-34,USD,usa,148000.0
senior software manager,35-44,USD,usa,148000.0
senior software engineer,35-44,CAD,canada,148276.68
software engineer,25-34,USD,usa,148400.0
senior software engineer,45-54,USD,usa,148500.0
software senior engineer,35-44,USD,usa,148500.0
senior software engineer,35-44,USD,usa,148720.0
software engineer,25-34,USD,usa,149000.0
senior software engineer,35-44,USD,usa,149316.0
full stack developer,35-44,USD,usa,149536.0
senior software engineer,25-34,USD,usa,149600.0
software engineer,18-24,USD,usa,149600.0
staff software engineer,45-54,USD,usa,150000.0
avp of software development,35-44,USD,usa,150000.0
software engineer,25-34,USD,usa,150000.0
backend software engineer,25-34,USD,usa,150000.0
software engineer,25-34,USD,usa,150000.0
sr. software engineer,55-64,USD,usa,150000.0
software engineer iv,35-44,USD,usa,150000.0
developer educator iii,25-34,USD,usa,150000.0
senior software engineer,35-44,USD,usa,150000.0
senior bi developer,25-34,USD,usa,150000.0
sr software architect,45-54,USD,usa,150000.0
sr. software developer,25-34,USD,usa,150000.0
software application development advisor,45-54,USD,usa,150000.0
software engineer,25-34,USD,usa,150000.0
software engineer ii,35-44,USD,usa,150000.0
software engineering manager,18-24,USD,usa,150000.0
software engineer,35-44,USD,usa,150000.0
senior software engineer ,35-44,USD,usa,150000.0
senior specialist design software architect,35-44,USD,usa,150000.0
senior software engineer,35-44,USD,usa,150000.0
software development engineer,25-34,USD,usa,150000.0
software engineer ,35-44,USD,usa,150000.0
software engineer,25-34,USD,usa,150200.0
software engineer ii,25-34,USD,usa,151000.0
ui/ux developer,35-44,USD,usa,151000.0
software engineer,25-34,USD,usa,151000.0
senior software engineer,25-34,USD,usa,151000.0
software engineer,18-24,USD,usa,151000.0
software development engineer,25-34,CAD,canada,151194.89
machine learning model developer,35-44,CHF,switzerland,151852.05
software engineer 3,25-34,USD,usa,152000.0
lead software engineer,65 or over,USD,usa,152000.0
software engineer ii,25-34,USD,usa,152461.0
software developer ,35-44,AUD/NZD,australia,152926.46
software engineer,25-34,USD,usa,153000.0
senior software engineer,55-64,USD,usa,153000.0
senior software engineering manager,25-34,USD,usa,153000.0
senior software engineer,45-54,USD,usa,154000.0
software engineer,25-34,USD,usa,154000.0
software engineer ii,25-34,USD,usa,154000.0
software engineer,18-24,USD,usa,154000.0
software engineer,35-44,USD,usa,154000.0
software engineer 2,25-34,USD,usa,154000.0
principal software quality engineer ,35-44,USD,usa,155000.0
senior software developer,45-54,USD,usa,155000.0
software developer,35-44,USD,usa,155000.0
senior software engineer,25-34,USD,usa,155000.0
software engineer,25-34,USD,usa,155000.0
senior software engineer,35-44,USD,usa,155000.0
software engineer,25-34,USD,usa,155000.0
senior software engineer,35-44,USD,usa,155000.0
senior software engineer,35-44,USD,usa,155000.0
senior software engineer,25-34,USD,usa,155000.0
senior software engineer,35-44,USD,usa,155000.0
